giatacityid,sun_chillout,knowledge_travel,independence_history,culture_indulgence,social_sport,action_fun,nature_recreation,title,subtitle,text,wiki_url,gtravel_url,pic_num
22326,0,25,75,25,50,0,75,Drumheller,Town in Canada,"Drumheller is a town northeast of Calgary, in Alberta, Canada. On the edge of town, in Midland Provincial Park, the Royal Tyrrell Museum contains a large collection of dinosaur fossils. Downtown, stairs wind inside the “World’s Largest Dinosaur,” a giant model T-Rex with views from its jaw. To the southeast, the Atlas Coal Mine National Historic Site explores the Drumheller Valley’s coal-mining heritage.",https://en.wikipedia.org/wiki/Drumheller,"https://www.google.com/destination?tcfs=&hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIJ3QbVRPLhbogRS9LcgIme6CRWmSA:1575846861241%22,%22monbulk%22,%22/m/01gm_j%22%5D&dest_mid=/m/025j3h#dest_mid=/m/025j3h&tcfs=EjEKCS9tLzAyNWozaBIKRHJ1bWhlbGxlchoYCgoyMDE5LTEyLTI0EgoyMDE5LTEyLTI4",30
53,0,75,75,100,50,25,25,Düsseldorf,City in Germany,,https://en.wikipedia.org/wiki/D%C3%BCsseldorf,https://www.google.com/travel/guide?dest_mid=%2Fm%2F0hf7l&dest_src=ut&tcfs=EhcKCC9tLzBoZjdsEgtEw7xzc2VsZG9yZg&hl=en-US&gl=us#dest_mid=/m/0hf7l&dest_src=ut&tcfs=EjEKCC9tLzBoZjdsEgtEw7xzc2VsZG9yZhoYCgoyMDE5LTEyLTMxEgoyMDIwLTAxLTA0,29
2682,100,0,25,0,50,25,50,Erdek,Town in Turkey,"Erdek is a town and district of Balıkesir Province in the Marmara region of Turkey. The population was 34000 in 2010. Located on the north coast of Gulf of Erdek at the south of the Sea of Marmara, Erdek is known as a holiday destination that is popular among domestic tourists.",https://en.wikipedia.org/wiki/Erdek,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/0bj73l#dest_mid=/m/0bj73l&tcfs=EhIKCS9tLzBiajczbBIFRXJkZWs",28
37545,0,25,75,50,0,0,75,Ermenonville,Commune in France,"Ermenonville is a commune in Oise, France. Ermenonville is notable for its park named for Jean-Jacques Rousseau by René Louis de Girardin. Rousseau's tomb was designed by the painter Hubert Robert, and sits on the Isle of Poplars in its lake.",https://en.wikipedia.org/wiki/Ermenonville,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIIwHEEMatoKPKziQs0dL3T6PZJHYA:1575848932549%22,%22Ara%C3%A7atuba%22,%22/m/03c3bbj%22%5D&tcfs=&dest_mid=/m/01x1sp#dest_mid=/m/01x1sp&tcfs=EhkKCS9tLzAxeDFzcBIMRXJtZW5vbnZpbGxl",30
35093,0,100,100,100,0,0,0,Fabriano,Town in Italy,"Fabriano is a town and comune of Ancona province in the Italian region of the Marche, at 325 metres above sea level. It lies in the Esino valley 44 kilometres upstream and southwest of Jesi; and 15 kilometres east-northeast of Fossato di Vico and 36 kilometres east of Gubbio. Its location on the main highway and rail line from Umbria to the Adriatic make it a mid-sized regional center in the Apennines. Fabriano is the headquarters of the giant appliance maker Indesit. Fabriano, with Bologna, is the only Italian creative city. The town is in the category Folk Arts.",https://en.wikipedia.org/wiki/Fabriano,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/02gx5d#dest_mid=/m/02gx5d&tcfs=EhUKCS9tLzAyZ3g1ZBIIRmFicmlhbm8",30
27935,25,0,0,0,75,25,100,Futaleufú,Town in Chile,"Futaleufú is a Chilean town and commune located in Northern Patagonia, specifically in Palena Province, Los Lagos Region. Futaleufu is a frontier town with a small but growing tourism industry based on adventure tourism—most specifically whitewater rafting—but also fishing, mountain biking, trekking, and canyoning.","https://en.wikipedia.org/wiki/Futaleuf%C3%BA,_Chile","https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIL4Ve0Kv3SxcIiP65QEm4M-jv-4Qw:1575850990280%22,%22Ammen%C3%A4s%22,%22/m/0h0p0y%22%5D&tcfs=&dest_mid=/m/0463bsy#dest_mid=/m/0463bsy&tcfs=EhgKCi9tLzA0NjNic3kSCkZ1dGFsZXVmw7o",26
54,0,75,75,100,50,25,50,Hanover,City in Germany,,https://en.wikipedia.org/wiki/Hanover,https://www.google.com/travel/guide?dest_src=yts&dest_mid=%2Fm%2F03pbf&hl=en-US&gl=us#dest_mid=/m/03pbf&dest_src=yts&tcfs=EhMKCC9tLzAzcGJmEgdIYW5vdmVy,26
25997,0,0,25,0,25,0,50,Haynsburg,Village in Germany,"Haynsburg is a village and a former municipality in the Burgenlandkreis district, in Saxony-Anhalt, Germany. Since 1 January 2010, it is part of the municipality Wetterzeube.",https://en.wikipedia.org/wiki/Haynsburg,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/03b_c2d#dest_mid=/m/03b_c2d&tcfs=EhcKCi9tLzAzYl9jMmQSCUhheW5zYnVyZw",5
38480,25,25,75,50,50,0,75,Horb am Neckar,Town in Germany,"Horb am Neckar is a town in the southwest of the German state of Baden-Württemberg. It is located on the Neckar river, between Offenburg to the west and Tübingen to the east.",https://en.wikipedia.org/wiki/Horb_am_Neckar,"https://www.google.com/destination?tcfs=&hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIJ3QbVRPLhbogRS9LcgIme6CRWmSA:1575846861241%22,%22monbulk%22,%22/m/01gm_j%22%5D&dest_mid=/m/07g6tk#dest_mid=/m/07g6tk&tcfs=EhsKCS9tLzA3ZzZ0axIOSG9yYiBhbSBOZWNrYXI",30
3,100,0,25,50,75,75,50,Hurghada,City in Egypt,,https://en.wikipedia.org/wiki/Hurghada,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIJWGQddyqGiUdQUid741BgHDzFy1w:1576422737970%22,%22Auronzo+Di+Cadore%22,%22/m/04tgjr%22%5D&tcfs=&dest_mid=/m/02xbzj#dest_mid=/m/02xbzj&tcfs=Ei8KCS9tLzAyeGJ6ahIISHVyZ2hhZGEaGAoKMjAxOS0xMi0zMRIKMjAyMC0wMS0wNA",30
33139,0,50,100,50,50,0,75,Knaresborough,Town in England,"Knaresborough is a market and spa town and civil parish in the Borough of Harrogate, North Yorkshire, England, on the River Nidd 4 miles east of Harrogate.",https://en.wikipedia.org/wiki/Knaresborough,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIL4Ve0Kv3SxcIiP65QEm4M-jv-4Qw:1575850990280%22,%22Ammen%C3%A4s%22,%22/m/0h0p0y%22%5D&tcfs=&dest_mid=/m/01z8gp#dest_mid=/m/01z8gp&tcfs=EhoKCS9tLzAxejhncBINS25hcmVzYm9yb3VnaA",29
44745,100,0,0,0,50,50,0,La Savina,"Village in Formentera, Spain","La Savina or La Sabina is a port village in Formentera, on the Balearic Islands, off eastern Spain. The Far de la Savina lighthouse is located nearby. ",https://en.wikipedia.org/wiki/La_Savina,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/0ch3jzd#dest_mid=/m/0ch3jzd&tcfs=EhcKCi9tLzBjaDNqemQSCUxhIFNhdmluYQ",14
24369,0,0,0,25,75,75,100,La Tzoumaz,Ski resort in the Swiss Alps,"La Tzoumaz is a ski resort in the Swiss Alps, in the canton of Valais. It is part of the ""Four Valleys"" ski area, which consists of various ski resorts, including Verbier, Nendaz, Veysonnaz, La Tzoumaz, and Thyon. As such it has direct access to over 400 km of runs.",https://en.wikipedia.org/wiki/La_Tzoumaz,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/02pp5wy#dest_mid=/m/02pp5wy&tcfs=EhgKCi9tLzAycHA1d3kSCkxhIFR6b3VtYXo",21
67,100,0,25,25,50,25,100,Las Terrenas,Town in the Dominican Republic,,https://en.wikipedia.org/wiki/Las_Terrenas,https://www.google.com/travel/guide?dest_mid=%2Fm%2F03w9tlx&dest_src=ut&tcfs=EhoKCi9tLzAzdzl0bHgSDExhcyBUZXJyZW5hcw&hl=en-US&gl=us#dest_mid=/m/03w9tlx&dest_src=ut&tcfs=EjQKCi9tLzAzdzl0bHgSDExhcyBUZXJyZW5hcxoYCgoyMDE5LTEyLTMxEgoyMDIwLTAxLTA0,30
56,0,100,100,100,50,25,50,Leipzig,City in Germany,,https://en.wikipedia.org/wiki/Leipzig,https://www.google.com/travel/guide?dest_src=yts&dest_mid=%2Fm%2F04kf4&hl=en-US&gl=us#dest_mid=/m/04kf4&dest_src=yts&tcfs=EhMKCC9tLzA0a2Y0EgdMZWlwemln,27
5,25,100,100,100,25,0,25,Luxor,City in Egypt,,https://en.wikipedia.org/wiki/Luxor,"https://www.google.com/destination?hl=en-US&gl=us&tcfs=&output=search&tra=%5B%22AMAbHIJEks94NE_5dqXhmCkk671n6SnhHQ:1576430354715%22,%22luxor%22,%22/m/01w2v%22%5D&dest_mid=/m/0180b5#dest_mid=/m/0180b5&tcfs=EhIKCS9tLzAxODBiNRIFTHV4b3I",30
25670,0,0,25,0,25,0,25,Merkem,Town in Belgium,Merkem is a town in the Belgian province West-Flanders. It is a part of the municipality of Houthulst.,https://en.wikipedia.org/wiki/Merkem,"https://www.google.com/travel/guide?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=Eh4KCi9tLzAzcWRndnoSEEVzc2V5LWzDqHMtTmFuY3k&dest_mid=/m/0145bq#dest_mid=/m/0145bq&tcfs=EhYKCS9tLzAxNDVicRIJSG91dGh1bHN0",30
58,0,100,100,100,50,50,50,Munich,City in Germany,,https://en.wikipedia.org/wiki/Munich,https://www.google.com/travel/guide?dest_src=yts&dest_mid=%2Fm%2F02h6_6p&hl=en-US&gl=us#dest_mid=/m/02h6_6p&dest_src=yts&tcfs=EhQKCi9tLzAyaDZfNnASBk11bmljaA,29
19,100,75,50,75,50,75,25,Nassau,Capital of the Bahamas,,"https://en.wikipedia.org/wiki/Nassau,_Bahamas",https://www.google.com/travel/guide?dest_mid=%2Fm%2F05hcy&dest_src=ut&tcfs=EhIKCC9tLzA1aGN5EgZOYXNzYXU&hl=en-US&gl=us#dest_mid=/m/05hcy&dest_src=ut&tcfs=EiwKCC9tLzA1aGN5EgZOYXNzYXUaGAoKMjAxOS0xMi0zMRIKMjAyMC0wMS0wNA,30
56701,25,0,0,0,50,0,50,New Lisbon,City in Wisconsin,"New Lisbon is a city in Juneau County, Wisconsin, United States. The population was 2,554 at the 2010 census.","https://en.wikipedia.org/wiki/New_Lisbon,_Wisconsin","https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/011449#dest_mid=/m/011449&tcfs=EhcKCS9tLzAxMTQ0ORIKTmV3IExpc2Jvbg",13
95,75,50,75,100,50,75,25,Nice,City in France,,https://en.wikipedia.org/wiki/Nice,https://www.google.com/travel/guide?dest_mid=%2Fm%2F0cp6w&dest_src=ut&tcfs=EhAKCC9tLzBjcDZ3EgROaWNl&hl=en-US&gl=us#dest_mid=/m/0cp6w&dest_src=ut&tcfs=EioKCC9tLzBjcDZ3EgROaWNlGhgKCjIwMTktMTItMzESCjIwMjAtMDEtMDQ,27
44771,25,0,75,0,50,0,100,Nogueira de Ramuín,Municipality in Spain,"Nogueira de Ramuín is a municipality in the province of Ourense in the Galicia region of north-west Spain. The municipality consists of 13 parroquias, the capital being Luintra.",https://en.wikipedia.org/wiki/Nogueira_de_Ramu%C3%ADn,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIIwHEEMatoKPKziQs0dL3T6PZJHYA:1575848932549%22,%22Ara%C3%A7atuba%22,%22/m/03c3bbj%22%5D&tcfs=&dest_mid=/m/0h0p0y#dest_mid=/m/0h0p0y&tcfs=EiAKCS9tLzBoMHAweRITTm9ndWVpcmEgZGUgUmFtdcOtbg",30
24488,25,0,25,0,50,0,75,Nordhastedt,Municipality in Germany,"Nordhastedt is a municipality in the district of Dithmarschen, in Schleswig-Holstein, Germany.",https://en.wikipedia.org/wiki/Nordhastedt,"https://www.google.com/destination?tcfs=&hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIJ3QbVRPLhbogRS9LcgIme6CRWmSA:1575846861241%22,%22monbulk%22,%22/m/01gm_j%22%5D&dest_mid=/m/03c3bbj#dest_mid=/m/03c3bbj&tcfs=EhkKCi9tLzAzYzNiYmoSC05vcmRoYXN0ZWR0",4
93,0,100,100,100,25,100,0,Paris,Capital of France,,https://en.wikipedia.org/wiki/Paris,https://www.google.com/travel/guide?dest_mid=%2Fm%2F05qtj&dest_src=ut&tcfs=EhEKCC9tLzA1cXRqEgVQYXJpcw&hl=en-US&gl=us#dest_mid=/m/05qtj&dest_src=ut&tcfs=EisKCC9tLzA1cXRqEgVQYXJpcxoYCgoyMDE5LTEyLTMxEgoyMDIwLTAxLTA0,30
47058,0,25,50,0,50,0,25,Piaseczno,Town in Poland,"Piaseczno is a town in central Poland with 47,660 inhabitants. It is situated in the Masovian Voivodeship, approximately 16 kilometres south of Warsaw. It is a popular residential area and a suburb of Warsaw and is strongly linked to the capital, both economically and culturally. It is the capital of Piaseczno County.",https://en.wikipedia.org/wiki/Piaseczno,"https://www.google.com/destination?tcfs=&hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIJ3QbVRPLhbogRS9LcgIme6CRWmSA:1575846861241%22,%22monbulk%22,%22/m/01gm_j%22%5D&dest_mid=/m/022b27#dest_mid=/m/022b27&tcfs=EhYKCS9tLzAyMmIyNxIJUGlhc2Vjem5v",22
19424,0,0,0,0,75,25,100,Posada de Valdeón,Municipality in Spain,"Posada de Valdeón is a municipality located in the province of León, Castile and León, Spain.",https://en.wikipedia.org/wiki/Posada_de_Valde%C3%B3n,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/02z8_sq#dest_mid=/m/02z8_sq&tcfs=EiAKCi9tLzAyejhfc3ESElBvc2FkYSBkZSBWYWxkZcOzbg",30
32,100,50,25,0,50,50,50,Praia do Forte,Village in Brazil,,https://en.wikipedia.org/wiki/Praia_do_Forte,"https://www.google.com/travel/guide?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILBf6dOduAt4ThxLa0BNNPByfuFsw:1576431776618%22,%22Praia+do+Forte%22,%22/g/122p7szg%22%5D&tcfs=Eh0KCy9nLzEyMnA3c3pnEg5QcmFpYSBkbyBGb3J0ZQ&dest_mid=/g/122p7szg#dest_mid=/g/122p7szg&tcfs=EjcKCy9nLzEyMnA3c3pnEg5QcmFpYSBkbyBGb3J0ZRoYCgoyMDE5LTEyLTMxEgoyMDIwLTAxLTA0",30
10496,100,0,0,0,50,0,100,Pulau Sibu,"Island in Mersing, Malaysia","Sibu Island is an island group in Mersing District, Johor, Malaysia.",https://en.wikipedia.org/wiki/Sibu_Island,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIKEbYXnUyLQ8z95GfOEnQSPzMFTxw:1575851925858%22,%22Pulau+Sibu+Tengah%22,%22/m/0463bsy%22%5D&tcfs=&dest_mid=/m/05s6cm#dest_mid=/m/05s6cm&tcfs=EhcKCS9tLzA1czZjbRIKUHVsYXUgU2lidQ",25
22572,25,0,25,0,50,0,25,Raunheim,Town in Germany,"Raunheim is a town in Groß-Gerau district in Hesse, Germany and a part of the Frankfurt Urban Region as well as the Frankfurt Rhein-Main Region.",https://en.wikipedia.org/wiki/Raunheim,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/0dq3tw#dest_mid=/m/0dq3tw&tcfs=EhUKCS9tLzBkcTN0dxIIUmF1bmhlaW0",23
25737,0,0,25,0,50,0,0,Reynosa,City in Mexico,"Reynosa is a border city in the northern part of the state of Tamaulipas, in Mexico. It is also the municipal seat of Reynosa Municipality. The city is located on the southern bank of the Rio Grande in the international Reynosa–McAllen Metropolitan Area, directly across of the Mexico-U.S. border from Hidalgo, Texas.",https://en.wikipedia.org/wiki/Reynosa,https://www.google.com/travel/guide?dest_mid=%2Fm%2F01gm_j&dest_src=ut&tcfs=EhQKCS9tLzAxZ21fahIHUmV5bm9zYQ&hl=en-US&gl=us#dest_mid=/m/01gm_j&dest_src=ut&tcfs=Ei4KCS9tLzAxZ21fahIHUmV5bm9zYRoYCgoyMDE5LTEyLTI0EgoyMDE5LTEyLTI4,28
34,75,75,100,50,50,100,25,Rio de Janeiro,Municipality in Brazil,,https://en.wikipedia.org/wiki/Rio_de_Janeiro,https://www.google.com/travel/guide?dest_src=yts&dest_mid=%2Fm%2F06gmr&hl=en-US&gl=us#dest_mid=/m/06gmr&dest_src=yts&tcfs=EhoKCC9tLzA2Z21yEg5SaW8gZGUgSmFuZWlybw,24
74,100,0,25,0,50,0,100,Río San Juan,Municipality in the Dominican Republic,,"https://en.wikipedia.org/wiki/R%C3%ADo_San_Juan,_Dominican_Republic",https://www.google.com/travel/guide?dest_mid=%2Fm%2F04gw2vw&dest_src=ut&tcfs=Ei8KCi9tLzA0Z3cydncSIVLDrW8gU2FuIEp1YW4sIERvbWluaWNhbiBSZXB1YmxpYw&hl=en-US&gl=us#dest_mid=/m/04gw2vw&dest_src=ut&tcfs=EkkKCi9tLzA0Z3cydncSIVLDrW8gU2FuIEp1YW4sIERvbWluaWNhbiBSZXB1YmxpYxoYCgoyMDE5LTEyLTMxEgoyMDIwLTAxLTA0,30
29815,25,0,25,0,50,0,75,Rohrdorf,Municipality in Germany,"Rohrdorf is a municipality in the district of Rosenheim in Upper Bavaria, Germany. It is located in the Inn valley.","https://en.wikipedia.org/wiki/Rohrdorf,_Bavaria","https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/01j4br#dest_mid=/m/01j4br&tcfs=EhUKCS9tLzAxajRichIIUm9ocmRvcmY",23
35456,0,0,25,0,50,0,25,Runnemede,Township in New Jersey,"Runnemede is a borough in Camden County, New Jersey, United States. As of the 2010 United States Census, the borough's population was 8,468, reflecting a decline of 65 from the 8,533 counted in the 2000 Census, which had in turn declined by 509 from the 9,042 counted in the 1990 Census.","https://en.wikipedia.org/wiki/Runnemede,_New_Jersey","https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/0xlyd#dest_mid=/m/0xlyd&tcfs=EhUKCC9tLzB4bHlkEglSdW5uZW1lZGU",20
36148,0,25,50,25,25,0,50,Saint Francisville,Town in Louisiana,"St. Francisville is a town in, and the parish seat of, West Feliciana Parish, Louisiana, United States. The population was 1,712 at the 2000 census. It is part of the Baton Rouge Metropolitan Statistical Area.","https://en.wikipedia.org/wiki/St._Francisville,_Louisiana","https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/0tnf_#dest_mid=/m/0tnf_&tcfs=Eh4KCC9tLzB0bmZfEhJTYWludCBGcmFuY2lzdmlsbGU",28
35,50,75,100,50,50,50,25,Salvador,City in Brazil,,"https://en.wikipedia.org/wiki/Salvador,_Bahia",https://www.google.com/travel/guide?dest_src=yts&dest_mid=%2Fm%2F09wwlj&hl=en-US&gl=us#dest_mid=/m/09wwlj&dest_src=yts&tcfs=EhUKCS9tLzA5d3dsahIIU2FsdmFkb3I,29
7360,75,0,25,0,75,0,100,San José de las Matas,Municipality in the Dominican Republic,"San José de las Matas, also known as Sajoma, is a municipality of the Santiago province in the Dominican Republic. Within the municipality there are three municipal districts: El Rubio, La Cuesta and Las Placetas.",https://en.wikipedia.org/wiki/San_Jos%C3%A9_de_las_Matas,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHIIgcafRJiaZUlKUIt-p4Qf8jR1F-w:1575852644121%22,%22Castellare+di+Casinca%22,%22/m/05s6cm%22%5D&tcfs=&dest_mid=/m/02r6pfg#dest_mid=/m/02r6pfg&tcfs=Ej4KCi9tLzAycjZwZmcSFlNhbiBKb3PDqSBkZSBsYXMgTWF0YXMaGAoKMjAxOS0xMi0yNRIKMjAxOS0xMi0yOQ",30
36,25,75,75,75,25,75,0,São Paulo,Municipality in Brazil,,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo,https://www.google.com/travel/guide?dest_src=yts&dest_mid=%2Fm%2F022pfm&hl=en-US&gl=us#dest_mid=/m/022pfm&dest_src=yts&tcfs=EhcKCS9tLzAyMnBmbRIKU8OjbyBQYXVsbw,25
41,25,75,75,100,50,100,0,Sofia,Capital of Bulgaria,,https://en.wikipedia.org/wiki/Sofia,https://www.google.com/travel/guide?dest_src=yts&dest_mid=%2Fm%2F0ftjx&hl=en-US&gl=us#dest_mid=/m/0ftjx&dest_src=yts&tcfs=EhEKCC9tLzBmdGp4EgVTb2ZpYQ,26
57570,0,0,25,0,75,0,75,Šonov,Village in the Czech Republic,Šonov is a village and municipality in Náchod District in the Hradec Králové Region of the Czech Republic. It is located near the border with Poland.,https://en.wikipedia.org/wiki/%C5%A0onov,https://www.google.com/travel/guide?dest_mid=%2Fm%2F06zt3q6&dest_src=ut&tcfs=EhQKCi9tLzA2enQzcTYSBsWgb25vdg&hl=en-US&gl=us#dest_mid=/m/06zt3q6&dest_src=ut&tcfs=Ei4KCi9tLzA2enQzcTYSBsWgb25vdhoYCgoyMDE5LTEyLTI2EgoyMDE5LTEyLTMw,22
40277,0,75,75,50,50,25,25,Stavropol,City in Russia,"Stavropol is a city in southwestern Russia. The central Stavropol State Museum-Reserve includes exhibitions on archaeology, paleontology and Russian history. Works at the nearby Stavropol Regional Museum of Fine Arts include religious icons and sculpture. To the west, the Stavropol Botanical Garden has water lilies and tree-lined paths. Vast Pobedy Park, or Victory Park, features rides, plus old planes and tanks.",https://en.wikipedia.org/wiki/Stavropol,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/02dvvr#dest_mid=/m/02dvvr&tcfs=EhYKCS9tLzAyZHZ2chIJU3RhdnJvcG9s",26
30306,0,0,25,0,50,0,75,Swalmen,Town in the Netherlands,"Swalmen is a town in the south-eastern Netherlands. The town is situated between the German border and the Meuse river. Until 1 January 2007, Swalmen was a separate municipality, covering the villages Swalmen, Asselt and Boukoul. These are now part of the municipality of Roermond.",https://en.wikipedia.org/wiki/Swalmen,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/0vjjc#dest_mid=/m/0vjjc&tcfs=EhMKCC9tLzB2ampjEgdTd2FsbWVu",26
16,50,100,100,100,50,100,25,Sydney,City in Australia,,https://en.wikipedia.org/wiki/Sydney,https://www.google.com/destination?q=sydney&output=search&dest_mid=/m/06y57&sa=X&ved=2ahUKEwis1v_klrjmAhU6BGMBHaQhCRYQri4wMnoECBcQAw#dest_mid=/m/06y57&tcfs=EhIKCC9tLzA2eTU3EgZTeWRuZXk,28
373,100,0,25,50,25,50,25,Viareggio,City in Italy,"Viareggio, a seaside city in Tuscany, Italy, is known for its Carnival. La Cittadella is a complex housing the Carnival Museum, with small reproductions of the city’s allegorical floats. The Villa Paolina Civic Museums include a museum of musical instruments and an archaeological museum. To the southeast, in the town of Torre del Lago, is Villa Puccini, a museum about the composer in his former lakeside residence.",https://en.wikipedia.org/wiki/Viareggio,"https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/05wnj6#dest_mid=/m/05wnj6&tcfs=EjAKCS9tLzA1d25qNhIJVmlhcmVnZ2lvGhgKCjIwMTktMTItMjYSCjIwMTktMTItMzA",30
17088,0,75,75,50,25,50,25,Weehawken,Township in New Jersey,"Weehawken is a township in the northern part of Hudson County, New Jersey, United States. As of the 2010 United States Census, the township's population was 12,554, reflecting a decline of 947 from the 13,501 counted in the 2000 Census, which had in turn increased by 1,116 from the 12,385 counted in the 1990 Census.","https://en.wikipedia.org/wiki/Weehawken,_New_Jersey",https://www.google.com/destination?dest_mid=/m/0xn9p&dest_src=ut&tcfs=&hl=en-US&gl=us#dest_mid=/m/0xn9p&dest_src=ut&tcfs=EhUKCC9tLzB4bjlwEglXZWVoYXdrZW4,30
35943,0,0,25,0,50,0,75,White Haven,"Borough in Luzerne County, Pennsylvania","White Haven is a borough in Luzerne County, Pennsylvania. It is located along the Lehigh River. The population was 1,097 at the 2010 census.","https://en.wikipedia.org/wiki/White_Haven,_Pennsylvania","https://www.google.com/destination?hl=en-US&gl=us&output=search&tra=%5B%22AMAbHILh2Y7y_Kv9ntAkrl4VC7-4ZDPUnw:1576012093886%22,%22Merkem%22,%22/m/03qdgvz%22%5D&tcfs=&dest_mid=/m/0_4k1#dest_mid=/m/0_4k1&tcfs=EhcKCC9tLzBfNGsxEgtXaGl0ZSBIYXZlbg",30
